LapNumber,Stint,TyreLife,CurrentWeight,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Componente_C1,Componente_C2,Componente_C3,Componente_C4,Componente_C5
2,1,,858.3703704,3,3,3,3,2,2,3,0,0,0,0,0
3,,,856.5555556,3,3,3,3,2,2,3,0,0,0,0,0
4,,,854.7407407,3,3,3,3,2,2,3,0,0,0,0,0
5,,,852.9259259,3,3,3,3,2,2,3,0,0,0,0,0
6,,,851.1111111,3,3,3,3,2,2,3,0,0,0,0,0
7,,,849.2962963,3,3,3,3,2,2,3,0,0,0,0,0
8,,,847.4814815,3,3,3,3,2,2,3,0,0,0,0,0
9,,,845.6666667,3,3,3,3,2,2,3,0,0,0,0,0
10,,,843.8518519,3,3,3,3,2,2,3,0,0,0,0,0
11,,,842.037037,3,3,3,3,2,2,3,0,0,0,0,0
12,,,840.2222222,3,3,3,3,2,2,3,0,0,0,0,0
13,,,838.4074074,3,3,3,3,2,2,3,0,0,0,0,0
14,,,836.5925926,3,3,3,3,2,2,3,0,0,0,0,0
15,,,834.7777778,3,3,3,3,2,2,3,0,0,0,0,0
16,,,832.962963,3,3,3,3,2,2,3,0,0,0,0,0
17,,,831.1481481,3,3,3,3,2,2,3,0,0,0,0,0
18,,,829.3333333,3,3,3,3,2,2,3,0,0,0,0,0
19,,,827.5185185,3,3,3,3,2,2,3,0,0,0,0,0
20,,,825.7037037,3,3,3,3,2,2,3,0,0,0,0,0
21,,,823.8888889,3,3,3,3,2,2,3,0,0,0,0,0
22,,,822.0740741,3,3,3,3,2,2,3,0,0,0,0,0
23,,,820.2592593,3,3,3,3,2,2,3,0,0,0,0,0
24,,,818.4444444,3,3,3,3,2,2,3,0,0,0,0,0
25,,,816.6296296,3,3,3,3,2,2,3,0,0,0,0,0
26,,,814.8148148,3,3,3,3,2,2,3,0,0,0,0,0
27,,,813,3,3,3,3,2,2,3,0,0,0,0,0
28,,,811.1851852,3,3,3,3,2,2,3,0,0,0,0,0
29,,,809.3703704,3,3,3,3,2,2,3,0,0,0,0,0
30,,,807.5555556,3,3,3,3,2,2,3,0,0,0,0,0
31,,,805.7407407,3,3,3,3,2,2,3,0,0,0,0,0
32,,,803.9259259,3,3,3,3,2,2,3,0,0,0,0,0
33,,,802.1111111,3,3,3,3,2,2,3,0,0,0,0,0
34,,,800.2962963,3,3,3,3,2,2,3,0,0,0,0,0
35,,,798.4814815,3,3,3,3,2,2,3,0,0,0,0,0
36,,,796.6666667,3,3,3,3,2,2,3,0,0,0,0,0
37,,,794.8518518,3,3,3,3,2,2,3,0,0,0,0,0
38,,,793.037037,3,3,3,3,2,2,3,0,0,0,0,0
39,,,791.2222222,3,3,3,3,2,2,3,0,0,0,0,0
40,,,789.4074074,3,3,3,3,2,2,3,0,0,0,0,0
41,,,787.5925926,3,3,3,3,2,2,3,0,0,0,0,0
42,,,785.7777778,3,3,3,3,2,2,3,0,0,0,0,0
43,,,783.962963,3,3,3,3,2,2,3,0,0,0,0,0
44,,,782.1481481,3,3,3,3,2,2,3,0,0,0,0,0
45,,,780.3333333,3,3,3,3,2,2,3,0,0,0,0,0
46,,,778.5185185,3,3,3,3,2,2,3,0,0,0,0,0
47,,,776.7037037,3,3,3,3,2,2,3,0,0,0,0,0
48,,,774.8888889,3,3,3,3,2,2,3,0,0,0,0,0
49,,,773.0740741,3,3,3,3,2,2,3,0,0,0,0,0
50,,,771.2592593,3,3,3,3,2,2,3,0,0,0,0,0
51,,,769.4444444,3,3,3,3,2,2,3,0,0,0,0,0
52,,,767.6296296,3,3,3,3,2,2,3,0,0,0,0,0
53,,,765.8148148,3,3,3,3,2,2,3,0,0,0,0,0
54,,,764,3,3,3,3,2,2,3,0,0,0,0,0
55,,,762.1851852,3,3,3,3,2,2,3,0,0,0,0,0
